Nome da empresa,Problemas_Empresa,Tipo_Nome_Empresa,Empresa_Padronizada,Qualidade_Padronizada
3i-Vision,['Contém números'],Nome padrão,3I-Vision,Contém números
AIR WALLET,['Tudo maiúsculo'],Contém siglas,AIR WALLET,Tudo maiúsculo
Sectorea IT,['OK'],Contém siglas,Sectorea It,OK
Ciberkon,['OK'],Nome padrão,Ciberkon,OK
EPBJC/IBJC,"['Caracteres especiais', 'Tudo maiúsculo']",Contém siglas,EPBJCIBJC,Tudo maiúsculo
XITASO GmbH,['OK'],Com sufixo corporativo,XITASO,Tudo maiúsculo
Methods,['OK'],Nome padrão,Methods,OK
The Point Company,['OK'],Nome padrão,The Pointmpany,OK
The Point Company,['OK'],Nome padrão,The Pointmpany,OK
Liberata,['OK'],Nome padrão,Liberata,OK
Nagarro,['OK'],Nome padrão,Nagarro,OK
M6toll,['Contém números'],Nome padrão,M6Toll,Contém números
mgm technology partners GmbH,['OK'],Com sufixo corporativo,Mgm Technology Partners,OK
mgm technology partners GmbH,['OK'],Com sufixo corporativo,Mgm Technology Partners,OK
KnowledgeWorks,['OK'],Nome padrão,Knowledgeworks,OK
PricewaterhouseCoopers,['OK'],Nome padrão,Pricewaterhousecoopers,OK
PricewaterhouseCoopers,['OK'],Nome padrão,Pricewaterhousecoopers,OK
Infopro Digital,['OK'],Nome padrão,Infopro Digital,OK
vente-privee,['Tudo minúsculo'],Nome padrão,Vente-Privee,OK
