Telefone da sede,Tipo_Telefone,Formato_Telefone,Codigo_Pais_Telefone,Problemas_Telefone
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
49761207030.0,Numérico,Numérico Sem Formatação,49,['OK']
,Nulo,Nulo,,['Nulo']
49408222320.0,Numérico,Numérico Sem Formatação,49,['OK']
492111598350.0,Numérico,Numérico Sem Formatação,49,['OK']
492173203630.0,Numérico,Numérico Sem Formatação,49,['OK']
492173203630.0,Numérico,Numérico Sem Formatação,49,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
628759397.0,Numérico,Numérico Sem Formatação,34,['OK']
497117823800.0,Numérico,Numérico Sem Formatação,49,['OK']
497117823800.0,Numérico,Numérico Sem Formatação,49,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
661766634.0,Numérico,Numérico Sem Formatação,33,['OK']
37052040300.0,Numérico,Numérico Sem Formatação,,['OK']
351308814821.0,Numérico,Numérico Sem Formatação,351,['OK']
4994215101500.0,Numérico,Numérico com Pontos,49,['OK']
,Nulo,Nulo,,['Nulo']
66148027610.0,Numérico,Numérico Sem Formatação,49,['OK']
66148027610.0,Numérico,Numérico Sem Formatação,49,['OK']
49034135592050.0,Numérico,Numérico com Pontos,49,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
49408080700.0,Numérico,Numérico Sem Formatação,49,['OK']
,Nulo,Nulo,,['Nulo']
912170144.0,Numérico,Numérico Sem Formatação,34,['OK']
64317781900.0,Numérico,Numérico Sem Formatação,49,['OK']
4971169947560.0,Numérico,Numérico com Pontos,49,['OK']
4902415597090.0,Numérico,Numérico com Pontos,49,['OK']
,Nulo,Nulo,,['Nulo']
33146060919.0,Numérico,Numérico Sem Formatação,33,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
2083658909.0,Numérico,Numérico Sem Formatação,44,['OK']
,Nulo,Nulo,,['Nulo']
671796160.0,Numérico,Numérico Sem Formatação,,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
32027875711.0,Numérico,Numérico Sem Formatação,,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
749234715.0,Numérico,Numérico Sem Formatação,33,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
240958730.0,Numérico,Numérico Sem Formatação,33,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
35319643324.0,Numérico,Numérico Sem Formatação,,['OK']
,Nulo,Nulo,,['Nulo']
809108888.0,Numérico,Numérico Sem Formatação,33,['OK']
809108888.0,Numérico,Numérico Sem Formatação,33,['OK']
3216369907.0,Numérico,Numérico Sem Formatação,,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
441604814900.0,Numérico,Numérico Sem Formatação,44,['OK']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
,Nulo,Nulo,,['Nulo']
33493333777.0,Numérico,Numérico Sem Formatação,33,['OK']
,Nulo,Nulo,,['Nulo']
